"LGA_2016","Local Government Areas - 2016","SEIFAINDEXTYPE","Index Type","SEIFA_MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"46510","Prospect (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",992,,
"46510","Prospect (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1140,,
"46510","Prospect (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",20527,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",892,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",50,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",1,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",10,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",7,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",1,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",10,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",716,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1022,,
"46670","Renmark Paringa (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",9475,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",982,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",373,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",7,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",69,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",50,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",7,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",70,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",923,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1097,,
"46860","Robe (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",1378,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",952,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",254,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",47,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",32,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",45,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",905,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",997,,
"46970","Roxby Downs (M)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",3884,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",894,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",55,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",2,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",11,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",8,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",2,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",12,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",723,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1114,,
"47140","Salisbury (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",137979,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",972,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",335,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",7,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",62,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",43,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",6,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",60,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",895,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1061,,
"47290","Southern Mallee (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2027,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",953,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",260,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",48,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",33,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",46,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",895,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",999,,
"47490","Streaky Bay (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2074,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",941,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",207,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",38,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",28,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",39,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",812,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1069,,
"47630","Tatiara (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",6620,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",994,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",406,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",75,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",53,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",74,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",893,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1217,,
"47700","Tea Tree Gully (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",97734,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",931,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",163,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",3,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",30,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",20,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",3,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",28,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",784,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1068,,
"47800","The Coorong (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",5380,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",972,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",336,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",7,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",62,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",44,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",7,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",62,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",868,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1057,,
"47910","Tumby Bay (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",2610,,
"47980","Unley (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1127,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",517,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",10,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",95,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",67,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",10,,
"47980","Unley (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",94,,
"47980","Unley (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",1013,,
"47980","Unley (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1217,,
"47980","Unley (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",37721,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",938,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",188,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",35,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",25,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",35,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",718,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1050,,
"48050","Victor Harbor (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",14665,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",911,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",83,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",2,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",16,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",15,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",3,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",21,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",821,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1053,,
"48130","Wakefield (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",6801,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1141,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",522,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",10,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",96,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",69,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",10,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",96,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",1072,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1198,,
"48260","Walkerville (M)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",7550,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",903,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",69,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",2,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",13,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",13,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",2,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",19,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",740,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1065,,
"48340","Wattle Range (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",11677,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1023,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",450,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",9,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",83,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",61,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",9,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",85,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",921,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1126,,
"48410","West Torrens (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",57901,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",881,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",38,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",1,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",7,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",4,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",1,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",6,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",731,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1045,,
"48540","Whyalla (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",21828,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",980,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",365,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",7,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",67,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",48,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",7,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",67,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",941,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1077,,
"48640","Wudinna (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",1250,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",960,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",284,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",53,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",37,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",6,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",52,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",878,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1036,,
"48750","Yankalilla (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",5159,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",942,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",209,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",39,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",29,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",41,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",737,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1081,,
"48830","Yorke Peninsula (DC)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",11056,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",933,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",173,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",32,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",22,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",31,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",754,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1077,,
"49399","Unincorporated SA","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",3524,,
"50080","Albany (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",960,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",283,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",6,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",52,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",63,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",5,,
"50080","Albany (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",46,,
"50080","Albany (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",811,,
"50080","Albany (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1161,,
"50080","Albany (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",36583,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",948,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",238,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",5,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",44,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",51,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",4,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",37,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",797,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1090,,
"50210","Armadale (C)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",79602,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",937,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",183,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",4,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",34,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",37,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",3,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",27,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",912,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",988,,
"50250","Ashburton (S)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",13026,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","SCORE","Score","2016","2016",1003,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWAR","Rank within Australia","2016","2016",421,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWAD","Rank within Australia - Decile","2016","2016",8,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWAP","Rank within Australia - Percentile","2016","2016",78,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWSR","Rank within State or Territory","2016","2016",105,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWSD","Rank within State or Territory - Decile","2016","2016",8,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","RWSP","Rank within State or Territory - Percentile","2016","2016",77,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","MINS","Minimum score for SA1s in area","2016","2016",907,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","MAXS","Maximum score for SA1s in area","2016","2016",1110,,
"50280","Augusta-Margaret River (S)","IEO","Index of Education and Occupation","URP","Usual resident population","2016","2016",14258,,
